,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,diff,coverted_usd
3,CA02,0140105686,SYSC llc,,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,not equal,2309.7899999999995
7,U001,0200744019,TARG us,,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,not equal,7821.114
10,U001,0200418007,AM ,,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,not equal,2467.913
14,U001,0200739534,OK systems,,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,equal,84773.95499999999
15,U001,0200353024,DECA corporation,,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,not equal,2608.2419999999997
22,U001,0200744019,TARG associates,,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,not equal,4125.107
25,CA02,0140106408,WAL-M corp,,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,equal,64982.589
27,U001,0200337148,COAS llc,,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,equal,7966.580999999999
35,U001,0200794332,COST associates,,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,not equal,2704.7509999999997
37,U001,0200794332,COST llc,,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,not equal,52117.106999999996
45,U001,0200803720,DEC corp,,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,not equal,97.02
51,U001,0200794332,COST co,,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,equal,22900.828999999998
52,U001,0200020431,DEC us,,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,not equal,122.30399999999999
57,U001,0200769623,WAL-MAR associates,,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,not equal,537.4459999999999
70,CA02,140105785,SHOPPE foundation,,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,not equal,1980.7199999999998
76,U001,0200769623,WAL-MAR ,,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,not equal,10160.276
77,U001,0200769623,WAL-MAR foundation,,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,equal,38780.217
79,U001,0200772670,ASSOCIAT corporation,,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,not equal,122336.45199999998
83,U001,0200900909,SYSCO systems,,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,not equal,22058.925
84,U001,0200769623,WAL-MAR systems,,2020.0,1930718081.0,2020-03-30,2020-04-14,2020-03-30,NAH4,not equal,13791.085
88,U001,0200726979,BJ'S  trust,,2020.0,1930788667.0,2020-04-16,2020-05-01,2020-04-16,NAA8,not equal,92.904
94,U001,0200769623,WAL-MAR llc,,2020.0,1930709919.0,2020-03-29,2020-04-13,2020-03-29,NAH4,not equal,784.8050000000001
95,U001,0200769623,WAL-MAR llc,,2020.0,1930752568.0,2020-04-06,2020-04-21,2020-04-06,NAH4,equal,7976.388
102,CA02,0140105847,GORDON F co,,2020.0,2960627274.0,2020-04-08,2020-04-18,2020-04-08,CA10,equal,2579.64
110,U001,0200744019,TARG foundation,,2020.0,1930648342.0,2020-03-15,2020-03-30,2020-03-15,NAA8,not equal,36486.31
112,U001,0200769623,WAL-MAR systems,,2020.0,1930632791.0,2020-03-10,2020-03-25,2020-03-10,NAH4,equal,10495.806999999999
113,U001,0200769623,WAL-MAR llc,,2020.0,1930617194.0,2020-03-06,2020-03-21,2020-03-06,NAH4,equal,25.242
131,U001,0200418007,AM in,,2020.0,1930752243.0,2020-04-06,2020-04-21,2020-04-06,NAA8,equal,18085.333
135,U001,0200739006,AL foundation,,2020.0,1930768064.0,2020-04-15,2020-04-30,2020-04-15,NAA8,not equal,3016.335
137,U001,0100031704,DELHAIZE associates,,2020.0,1930789873.0,2020-04-15,2020-04-30,2020-04-15,NAA8,not equal,49126.749
138,U001,0200769623,WAL-MAR trust,,2020.0,1930705172.0,2020-03-28,2020-04-12,2020-03-28,NAH4,not equal,2382.66
148,U001,0200744019,TARG systems,,2020.0,1930620634.0,2020-03-10,2020-05-14,2020-03-10,NAGD,not equal,7465.871
178,U001,0200769623,WAL-MAR ,,2020.0,1930676002.0,2020-03-21,2020-04-05,2020-03-21,NAH4,not equal,5096.357
188,U001,0200726979,BJ'S  corporation,,2020.0,1930585378.0,2020-03-02,2020-03-17,2020-03-02,NAA8,not equal,9577.19
193,U001,0200706844,WINC associates,,2020.0,1930773419.0,2020-04-07,2020-04-22,2020-04-07,NAA8,not equal,23763.495
197,U001,0200793830,M llc,,2020.0,1930767747.0,2020-04-08,2020-04-23,2020-04-08,NAA8,not equal,3175.998
199,U001,0200769623,WAL-MAR foundation,,2020.0,1930750455.0,2020-04-06,2020-04-21,2020-04-06,NAH4,not equal,10049.171999999999
200,U001,0200769623,WAL-MAR systems,,2020.0,1930738904.0,2020-04-03,2020-04-18,2020-04-03,NAH4,equal,257.397
203,U001,0200769623,WAL-MAR trust,,2020.0,1930862467.0,2020-05-06,2020-05-21,2020-05-06,NAH4,equal,39399.33899999999
214,U001,0200769623,WAL-MAR systems,,2020.0,1930582162.0,2020-02-29,2020-03-15,2020-02-29,NAH4,not equal,35345.702
215,U001,0200769623,WAL-MAR llc,,2020.0,1930802490.0,2020-04-21,2020-05-06,2020-04-21,NAH4,not equal,10842.600999999999
229,CA02,0140104423,METRO  llc,,2020.0,2960617050.0,2020-02-27,2020-03-11,2020-03-01,CA10,not equal,93179.35199999998
237,U001,0200726979,BJ'S  systems,,2020.0,1930801417.0,2020-04-19,2020-05-04,2020-04-19,NAA8,not equal,252.23099999999997
242,U001,0200743996,STATER  llc,,2020.0,1930660304.0,2020-03-16,2020-05-20,2020-03-16,NAGD,not equal,2678.221
254,U001,0200752302,KROGER trust,,2020.0,1930733767.0,2020-04-02,2020-04-17,2020-04-02,NAA8,equal,67671.83499999999
258,CA02,140105686,SYSC llc,,2020.0,2960633120.0,2020-05-06,2020-05-18,2020-05-08,CA10,not equal,43230.299
260,U001,0200711029,WEGMAN corp,,2020.0,1930742932.0,2020-04-03,2020-04-18,2020-04-03,NAA8,equal,10067.553999999998
